ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600339.SH,20250627,3.26,3.29,3.24,3.26,3.29,-0.03,-0.9119,476592.65,155517.405
600339.SH,20250626,3.27,3.3,3.24,3.29,3.29,0.0,0.0,752931.1,246072.664
600339.SH,20250625,3.26,3.29,3.24,3.29,3.28,0.01,0.3049,736536.35,240119.465
600339.SH,20250624,3.29,3.33,3.2,3.28,3.47,-0.19,-5.4755,1258539.95,412230.007
600339.SH,20250623,3.49,3.53,3.41,3.47,3.4,0.07,2.0588,1136293.2,392962.093
600339.SH,20250620,3.47,3.47,3.38,3.4,3.54,-0.14,-3.9548,1012032.27,346097.901
600339.SH,20250619,3.36,3.58,3.3,3.54,3.4,0.14,4.1176,1777653.86,611857.387
600339.SH,20250618,3.44,3.51,3.37,3.4,3.43,-0.03,-0.8746,1220960.71,419430.343
600339.SH,20250617,3.33,3.48,3.29,3.43,3.45,-0.02,-0.5797,1496848.13,505299.092
600339.SH,20250616,3.45,3.58,3.33,3.45,3.35,0.1,2.9851,2174319.53,751017.404
600339.SH,20250613,3.22,3.43,3.21,3.35,3.17,0.18,5.6782,1966449.93,649597.784
600339.SH,20250612,3.18,3.19,3.16,3.17,3.17,0.0,0.0,362693.5,115125.382
600339.SH,20250611,3.15,3.17,3.14,3.17,3.15,0.02,0.6349,196146.12,62063.557
600339.SH,20250610,3.18,3.18,3.13,3.15,3.18,-0.03,-0.9434,341063.75,107776.819
600339.SH,20250609,3.16,3.18,3.16,3.18,3.16,0.02,0.6329,291360.83,92371.009
600339.SH,20250606,3.13,3.17,3.12,3.16,3.12,0.04,1.2821,458951.3,144806.417
600339.SH,20250605,3.15,3.15,3.11,3.12,3.15,-0.03,-0.9524,368512.0,115296.518
600339.SH,20250604,3.13,3.15,3.13,3.15,3.14,0.01,0.3185,208413.4,65465.062
600339.SH,20250603,3.11,3.14,3.11,3.14,3.12,0.02,0.641,284724.1,89113.792
600339.SH,20250530,3.14,3.14,3.11,3.12,3.15,-0.03,-0.9524,235507.02,73522.636
600339.SH,20250529,3.12,3.15,3.11,3.15,3.12,0.03,0.9615,297916.03,93466.812
600339.SH,20250528,3.12,3.13,3.1,3.12,3.12,0.0,0.0,210079.82,65538.957
600339.SH,20250527,3.11,3.12,3.09,3.12,3.11,0.01,0.3215,261813.08,81278.904
600339.SH,20250526,3.09,3.11,3.09,3.11,3.09,0.02,0.6472,198957.91,61700.105
600339.SH,20250523,3.11,3.13,3.09,3.09,3.11,-0.02,-0.6431,295039.9,91811.727
600339.SH,20250522,3.14,3.14,3.1,3.11,3.15,-0.04,-1.2698,351700.75,109592.726
600339.SH,20250521,3.13,3.15,3.13,3.15,3.13,0.02,0.639,310427.43,97509.378
600339.SH,20250520,3.13,3.14,3.11,3.13,3.13,0.0,0.0,299636.19,93632.996
600339.SH,20250519,3.11,3.14,3.11,3.13,3.11,0.02,0.6431,347527.59,108614.278
600339.SH,20250516,3.15,3.17,3.1,3.11,3.16,-0.05,-1.5823,605070.2,189192.796
600339.SH,20250515,3.23,3.26,3.16,3.16,3.18,-0.02,-0.6289,669401.25,214346.525
600339.SH,20250514,3.15,3.18,3.13,3.18,3.15,0.03,0.9524,506403.78,159917.357
600339.SH,20250513,3.16,3.18,3.14,3.15,3.14,0.01,0.3185,440930.69,139258.231
600339.SH,20250512,3.12,3.14,3.11,3.14,3.11,0.03,0.9646,326737.99,102303.74
600339.SH,20250509,3.14,3.15,3.11,3.11,3.13,-0.02,-0.639,297830.19,93100.415
600339.SH,20250508,3.14,3.15,3.12,3.13,3.14,-0.01,-0.3185,331537.33,103869.07
600339.SH,20250507,3.12,3.15,3.11,3.14,3.1,0.04,1.2903,382742.61,119824.466
600339.SH,20250506,3.07,3.11,3.07,3.1,3.06,0.04,1.3072,339650.78,105005.082
600339.SH,20250430,3.08,3.1,3.06,3.06,3.08,-0.02,-0.6494,313802.97,96614.703
600339.SH,20250429,3.1,3.11,3.07,3.08,3.1,-0.02,-0.6452,271269.12,83773.255
600339.SH,20250428,3.13,3.13,3.08,3.1,3.13,-0.03,-0.9585,353098.56,109478.465
600339.SH,20250425,3.14,3.16,3.12,3.13,3.14,-0.01,-0.3185,315840.79,99185.394
600339.SH,20250424,3.14,3.15,3.11,3.14,3.14,0.0,0.0,335920.0,105254.028
600339.SH,20250423,3.13,3.15,3.11,3.14,3.12,0.02,0.641,382294.79,119784.936
600339.SH,20250422,3.14,3.15,3.11,3.12,3.15,-0.03,-0.9524,438274.74,136862.434
600339.SH,20250421,3.11,3.18,3.09,3.15,3.11,0.04,1.2862,420444.53,131449.772
600339.SH,20250418,3.1,3.12,3.08,3.11,3.09,0.02,0.6472,280381.72,87047.462
600339.SH,20250417,3.1,3.13,3.08,3.09,3.11,-0.02,-0.6431,314958.6,97792.753
600339.SH,20250416,3.13,3.15,3.07,3.11,3.15,-0.04,-1.2698,311959.17,96666.593
600339.SH,20250415,3.18,3.19,3.13,3.15,3.18,-0.03,-0.9434,284480.54,89509.134
600339.SH,20250414,3.19,3.21,3.17,3.18,3.17,0.01,0.3155,279094.9,88865.669
600339.SH,20250411,3.18,3.2,3.16,3.17,3.18,-0.01,-0.3145,254835.43,80988.745
600339.SH,20250410,3.17,3.22,3.16,3.18,3.17,0.01,0.3155,404408.77,128997.823
600339.SH,20250409,3.04,3.18,2.98,3.17,3.08,0.09,2.9221,477539.76,147111.11
600339.SH,20250408,3.05,3.11,3.01,3.08,3.06,0.02,0.6536,501590.6,153646.515
600339.SH,20250407,3.11,3.2,3.06,3.06,3.4,-0.34,-10.0,483341.0,149719.85
600339.SH,20250403,3.34,3.41,3.34,3.4,3.37,0.03,0.8902,249487.57,84301.589
600339.SH,20250402,3.41,3.42,3.36,3.37,3.42,-0.05,-1.462,254934.44,86031.42
600339.SH,20250401,3.34,3.43,3.34,3.42,3.33,0.09,2.7027,357344.97,121617.147
600339.SH,20250331,3.34,3.38,3.31,3.33,3.35,-0.02,-0.597,297649.07,99486.262
600339.SH,20250328,3.43,3.44,3.33,3.35,3.44,-0.09,-2.6163,348321.19,117389.041
600339.SH,20250327,3.52,3.54,3.42,3.44,3.51,-0.07,-1.9943,372489.23,128666.052
600339.SH,20250326,3.52,3.57,3.5,3.51,3.52,-0.01,-0.2841,352098.54,124200.862
